type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,78.00%,22.00%,0.00%,0.00%,0.00%
2,75.00%,25.00%,0.00%,0.00%,0.00%
3,83.00%,17.00%,0.00%,0.00%,0.00%
4,81.00%,19.00%,0.00%,0.00%,0.00%
