type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,77.00%,23.00%,0.00%,0.00%,0.00%
2,76.00%,24.00%,0.00%,0.00%,0.00%
3,79.00%,21.00%,0.00%,0.00%,0.00%
4,82.00%,18.00%,0.00%,0.00%,0.00%
