type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,12.20%,24.39%,1.22%,20.73%,41.46%
2,11.90%,25.00%,2.38%,27.38%,33.33%
3,18.52%,23.46%,3.70%,17.28%,37.04%
4,21.69%,24.10%,3.61%,14.46%,36.14%
