type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,27.00%,63.00%,6.00%,4.00%,0.00%
2,22.00%,62.00%,12.00%,4.00%,0.00%
3,13.00%,72.00%,12.00%,3.00%,0.00%
4,20.00%,63.00%,11.00%,6.00%,0.00%
