type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,16.00%,64.00%,17.00%,3.00%,0.00%
2,11.00%,67.00%,20.00%,2.00%,0.00%
3,14.00%,60.00%,22.00%,4.00%,0.00%
4,13.00%,62.00%,23.00%,2.00%,0.00%
