type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,18.00%,74.00%,7.00%,1.00%,0.00%
2,18.00%,73.00%,8.00%,1.00%,0.00%
3,26.00%,62.00%,12.00%,0.00%,0.00%
###########4,19.00%,68.00%,11.00%,2.00%,0.00%
