type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,57.00%,43.00%,0.00%,0.00%,0.00%
2,57.00%,43.00%,0.00%,0.00%,0.00%
3,63.00%,37.00%,0.00%,0.00%,0.00%
