type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,5.00%,94.00%,1.00%,0.00%,0.00%
2,9.00%,90.00%,1.00%,0.00%,0.00%
#######3,6.00%,92.00%,2.00%,0.00%,0.00%
4,4.00%,90.00%,6.00%,0.00%,0.00%
