type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,15.00%,57.00%,22.00%,6.00%,0.00%
2,12.00%,64.00%,21.00%,3.00%,0.00%
3,22.00%,55.00%,18.00%,5.00%,0.00%
#######4,19.00%,58.00%,19.00%,4.00%,0.00%
