type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,86.00%,14.00%,0.00%,0.00%,0.00%
#######2,90.00%,10.00%,0.00%,0.00%,0.00%
3,85.00%,15.00%,0.00%,0.00%,0.00%
4,82.00%,18.00%,0.00%,0.00%,0.00%
