type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
1,14.00%,63.00%,17.00%,6.00%,0.00%
2,14.00%,66.00%,16.00%,4.00%,0.00%
3,11.00%,60.00%,22.00%,7.00%,0.00%
#####4,14.00%,67.00%,16.00%,3.00%,0.00%
