type,"[0, 0.5]","[0.5, 3]","[3, 5]","[5, 20]","[20,  ]"
######1,78.00%,22.00%,0.00%,0.00%,0.00%
2,78.00%,22.00%,0.00%,0.00%,0.00%
3,72.00%,28.00%,0.00%,0.00%,0.00%
4,85.00%,15.00%,0.00%,0.00%,0.00%
